ID,Family_Income,Gender,Interaction_1,Interaction_2,Interaction_3,Interaction_4,Interaction_5,Interaction_6,Interaction_7,Interaction_8,Interaction_9,School_Readiness_1,School_Readiness_2,School_Readiness_3,School_Readiness_4,School_Readiness_5,School_Readiness_6,School_Readiness_7,School_Readiness_8,School_Readiness_9,School_Readiness_10,School_Readiness_11,School_Readiness_12,School_Readiness_13,School_Readiness_14,School_Readiness_15,School_Readiness_16,School_Readiness_17,School_Readiness_18,School_Readiness_19,School_Readiness_20,School_Readiness_21,School_Readiness_22,Self_Regulation_1,Self_Regulation_2,Self_Regulation_3,Self_Regulation_4,Self_Regulation_5,Self_Regulation_6,Self_Regulation_7
103018,800,1,3,2,2,2,2,2,1,3,3,4,3,4,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,2
103019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103020,600,2,4,4,3,3,3,3,2,3,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,2,3
103021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103022,600,2,2,4,4,3,3,2,2,2,2,4,3,2,1,3,4,4,3,3,3,4,3,4,4,4,3,4,3,3,4,4,3,2,2,2,2,2,2,2
103023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103025,800,2,1,3,4,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
103026,400,1,3,2,2,2,2,2,2,1,2,4,3,4,2,4,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,1,2,2,2,2,2,2
103027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103028,300,2,3,3,2,3,2,3,2,3,2,4,3,3,4,4,4,3,4,3,3,4,3,3,3,4,3,4,3,4,4,3,4,3,2,3,2,3,3,2
103029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103031,1000,2,3,3,3,2,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
103032,320,2,2,2,2,3,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
103033,500,1,2,2,3,3,3,2,2,2,2,4,2,4,2,4,3,3,3,2,2,2,2,2,4,3,2,3,3,2,4,4,4,2,2,2,2,3,2,2
103034,450,2,2,2,2,1,1,2,2,1,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,3,3
103035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103036,400,2,3,3,2,3,1,2,2,2,2,4,3,4,2,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3,4,4,3,2,2,2,2,3,2,2
103037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103038,400,1,4,4,4,2,3,2,3,2,2,4,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,3,2,3
103039,500,1,3,3,3,4,2,3,2,2,2,2,2,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,2,3,3,3,3,2,2
103040,300,2,2,2,2,2,3,2,3,2,3,3,4,4,2,3,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,1,2,3,3,3,2,1
103041,570,2,3,4,4,3,4,3,3,1,4,4,3,4,4,4,3,4,4,4,4,4,2,2,3,2,3,2,4,4,4,4,4,2,3,2,1,3,3,2
103042,700,1,2,2,2,2,3,2,2,3,3,4,4,4,2,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,3
103044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103048,650,1,2,3,2,2,2,2,2,2,2,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,3,4,4,4,3,3,3,3,3,3,3
103050,500,1,3,3,3,2,2,3,2,2,2,3,2,4,1,2,3,3,2,3,2,3,3,3,3,3,3,2,4,2,4,3,3,1,2,3,2,3,1,1
103051,300,1,3,3,2,2,3,2,2,3,2,4,2,4,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,3,2,2,1,2,2,2,2
104001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104005,500,1,2,3,2,2,2,1,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,3,3,4,4,4,4,4,3,4,3,2,3,2,3,3,3
104006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104008,600,1,2,2,3,2,3,2,2,2,2,4,3,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,3,2,3
104009,900,2,2,2,2,2,2,2,2,2,2,3,3,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,2,3,2,2,2
104010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104013,350,1,4,4,4,2,2,2,2,2,2,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,2,2
104014,370,1,3,2,1,3,2,1,1,3,1,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,4,3,3,2,2,2,3,3,2,2
104015,600,2,2,2,1,1,2,1,1,1,1,4,3,4,3,4,4,4,4,3,2,3,2,4,3,3,3,3,3,3,4,4,3,2,2,3,2,3,2,2
